motor_target_flow,motor_step_delay,time
33997.2,0.0,5.303000211715698
33987.600000000006,0.0,5.803830146789551
33958.32,0.0,6.3046958446502686
33926.76,0.0,6.805513858795166
33912.0,0.0,7.385663270950317
33864.840000000004,0.0,7.886293888092041
33851.04,0.0,8.387041091918945
33823.56,0.0,8.887731313705444
33812.399999999994,0.0,9.389514446258545
33791.88,0.0,9.890505075454712
33786.479999999996,0.0,10.391007900238037
33763.32,0.0,10.891492128372192
33744.0,0.0,11.392011165618896
33726.24,0.0,11.892492771148682
33707.399999999994,0.0,12.393049478530884
33692.520000000004,0.0,12.893622636795044
33679.2,0.0,13.394201040267944
33657.12,0.0,13.894708395004272
33629.64,0.0,14.395227193832397
33615.0,0.0,14.895793199539185
33620.04,0.0,15.396553039550781
33618.479999999996,0.0,15.897197246551514
33713.28,0.0,16.39820408821106
34937.88,0.0,16.8988938331604
34413.479999999996,0.0,17.401567459106445
34384.44,0.0,17.90313482284546
34236.96,0.0,18.403751373291016
34151.28,0.0,18.90460205078125
34134.479999999996,0.0,19.406328678131104
34118.520000000004,0.0,19.90733242034912
34134.840000000004,0.0,20.408485412597656
34120.44,0.0,20.909532070159912
34135.08,0.0,21.410241842269897
34105.56,0.0,21.91116166114807
34060.68,0.0,22.41193914413452
34018.8,0.0,22.912696599960327
33979.32,0.0,23.41327929496765
33942.36,0.0,23.9142963886261
33907.32,0.0,24.414968729019165
33862.68,0.0,24.915563344955444
33821.64,0.0,25.416115760803223
33787.8,0.0,25.916765689849854
33768.479999999996,0.0,26.417306423187256
33743.76,0.0,26.917919874191284
