motor_target_flow,motor_step_delay,time
-29.626538134397194,0.294469622467219,5.016505002975464
-29.614849022731526,0.29436534565922856,5.517164468765259
-29.603775371135303,0.29426659333924027,6.017734050750732
-29.594111543841667,0.2941804405846703,6.518826246261597
-29.586771670791784,0.29411502267259565,7.019386291503906
-29.560695802189173,0.2938827345180143,7.627912521362305
-29.573417567099543,0.29399603917826594,8.13068175315857
-29.569242746876878,0.29395885189788096,8.63120412826538
-29.57091591128026,0.2939737550727078,9.13170051574707
-29.568175780044974,0.2939493486278468,9.63253402709961
-29.561737530971392,0.2938920108913403,10.138425588607788
-29.55422692213921,0.29382513707055397,10.638967990875244
-29.564827660356837,0.29391952955909106,11.139467716217041
-29.561139026465987,0.29388668130017925,11.63997483253479
-29.559301397560866,0.2938703180995265,12.140467405319214
-29.556361244338945,0.2938441393456261,12.641290426254272
-29.550096763197033,0.2937883689723776,13.143080949783325
-29.547069647034988,0.2937614234630852,13.643737554550171
-29.54410962941146,0.29373507761314915,14.14598560333252
-29.542565002720252,0.2937213304903063,14.646617412567139
-29.5424717771354,0.2937205008064907,15.147448778152466
-29.54050970152845,0.2937030393800988,15.648383140563965
-29.540893108306925,0.29370645141432344,16.148951053619385
-29.543875482780315,0.29373299367505173,16.649681091308594
-29.53932936468762,0.2936925355118465,17.150437593460083
-29.5402032225398,0.29370031197430524,17.654619455337524
-29.53945167532742,0.2936936239420377,18.155328273773193
-29.53890006826732,0.29368871527772156,18.656001329421997
-29.53622632291168,0.2936649232016801,19.15687656402588
-29.53688223926546,0.2936707596343348,19.659923553466797
-29.537292617512577,0.2936744112946125,20.26102924346924
-29.216274871499415,0.2908317354935743,20.761631727218628
-28.744732545449757,0.28670595367970775,21.262535095214844
-28.30339429039646,0.282897485447039,21.763572454452515
-27.733082782938475,0.27805088905837433,22.264819383621216
-27.001888323212217,0.27195835799672013,22.765739679336548
-26.064878306368882,0.26434565750100275,23.26676607131958
-24.94778861098303,0.2555478668003063,23.767661333084106
-23.306536644833354,0.24315030789391606,24.268645524978638
-20.30050939621699,0.2219821953405768,24.770474433898926
-14.427829141702526,0.18579705312312686,25.27131938934326
-9.046696360811412,0.15784391144997914,25.77233386039734
-6.775124576843176,0.14734518295330953,26.272923469543457
-4.949913871939653,0.13941765400547182,26.778721570968628
-3.1915930743562697,0.13218428044006775,27.28123116493225
-1.5156354444282734,0.12563934944753613,27.781940937042236
-0.04271454177328948,0.12015541062234068,28.28323268890381
1.367023479014943,0.11513103694400523,28.783886671066284
