icp,load1,load2,time
3286.0,943.9909955544379,-555.0589034255622,0.9252896308898926
9055.0,958.1081978444379,-554.7305963955623,0.9419505596160889
9053.0,960.4063470544377,-554.4022893655624,0.9584498405456543
9050.0,951.5420572444375,-553.7456753055624,0.974907636642456
9048.0,942.3494604044379,-553.4173682755622,0.9918339252471924
9047.0,950.5571361544378,-552.7607542155622,1.008462905883789
9047.0,973.8669352844379,-552.4324471855623,1.0249311923980713
9048.0,948.2589869444375,-552.1041401555624,1.0414175987243652
9047.0,944.3193025844378,-551.7758331255623,1.0578804016113281
9047.0,943.9909955544379,-551.1192190655622,1.0743541717529297
9044.0,948.5872939744379,-550.4626050055624,1.091463327407837
9041.0,954.4968205144376,-550.4626050055624,1.1080691814422607
9039.0,965.3309525044376,-549.8059909455624,1.1245636940002441
9036.0,942.3494604044379,-549.4776839155622,1.141023874282837
9035.0,942.6777674344378,-549.1493768855623,1.1574585437774658
9033.0,942.0211533744375,-548.8210698555622,1.1738929748535156
9033.0,943.0060744644377,-548.1644557955624,1.1903550624847412
9032.0,962.3761892344376,-547.5078417355624,1.206838607788086
9031.0,954.4968205144376,-547.1795347055622,1.2234044075012207
9030.0,943.6626885244375,-546.8512276755623,1.2399132251739502
9029.0,945.6325307044378,-546.5229206455624,1.2563695907592773
9030.0,947.2740658544378,-546.1946136155623,1.272758960723877
9031.0,942.3494604044379,-545.5379995555622,1.2891583442687988
9032.0,963.3611103244377,-545.2096925255623,1.3055908679962158
9033.0,942.0211533744375,-544.5530784655623,1.3220043182373047
9035.0,944.3193025844378,-544.2247714355624,1.3384177684783936
9038.0,941.3645393144377,-543.8964644055623,1.354835033416748
9037.0,949.9005220944375,-543.5681573755624,1.371246337890625
9036.0,942.0211533744375,-542.9115433155623,1.3876445293426514
9038.0,950.2288291244379,-542.5832362855624,1.4040491580963135
9039.0,943.0060744644377,-541.9266222255624,1.4216079711914062
9038.0,945.3042236744375,-541.9266222255624,1.4390356540679932
9037.0,946.2891447644377,-541.2700081655623,1.457939624786377
9047.0,65.90831676880006,-540.6133941055623,1.4755845069885254
9036.0,65.90831676880006,-540.6133941055623,1.4938452243804932
9040.0,71.16122924879991,-540.2850870755624,1.5135478973388672
9037.0,62.62524646880011,-539.6284730155623,1.5323867797851562
9039.0,30.779464558800193,-539.3001659855622,1.5504584312438965
9040.0,49.82127229880016,-538.9718589555623,1.5728347301483154
9042.0,29.13792940880021,-538.3152448955623,1.592735767364502
9043.0,35.04745594879987,-537.6586308355622,1.6127684116363525
9043.0,17.647183358799886,-537.3303238055623,1.6331110000610352
9042.0,20.930253658800304,-537.0020167755622,1.652172565460205
9041.0,17.647183358799886,-536.6737097455623,1.672438144683838
9041.0,12.394270878800036,-536.3454027155624,1.6916921138763428
9040.0,14.692420088800283,-536.0170956855623,1.710827350616455
9039.0,17.647183358799886,-535.6887886555623,1.729552984237671
9041.0,16.333955238800264,-535.0321745955623,1.7484750747680664
9039.0,13.379191968800207,-534.7038675655624,1.767765998840332
9041.0,17.31887632879998,-534.3755605355623,1.785569429397583
9040.0,20.930253658800304,-533.7189464755622,1.802417516708374
9041.0,26.51147316880006,-533.3906394455623,1.8192787170410156
9041.0,28.481315348799946,-533.0623324155622,1.8361384868621826
9040.0,12.722577908799941,-532.4057183555624,1.8527896404266357
9040.0,12.722577908799941,-532.4057183555624,1.869577407836914
9040.0,14.364113058799923,-531.7491042955623,1.887441873550415
9040.0,17.31887632879998,-531.4207972655622,1.9043927192687988
9040.0,12.06596384880013,-531.0924902355623,1.921323537826538
9040.0,12.06596384880013,-530.7641832055624,1.9380552768707275
9039.0,12.394270878800036,-530.1075691455624,1.9546799659729004
9039.0,13.379191968800207,-530.1075691455624,1.9712738990783691
9037.0,12.722577908799941,-529.1226480555622,1.9879159927368164
9037.0,14.364113058799923,-528.7943410255623,2.0045006275177
9037.0,12.394270878800036,-528.4660339955624,2.0211057662963867
9038.0,12.722577908799941,-528.4660339955624,2.037745952606201
9037.0,11.737656818800225,-527.8094199355623,2.054386615753174
9038.0,13.050884938800301,-527.4811129055622,2.0710320472717285
9039.0,12.394270878800036,-527.1528058755623,2.087657928466797
9038.0,13.379191968800207,-526.8244988455624,2.10422945022583
9038.0,13.050884938800301,-526.1678847855624,2.1208436489105225
9039.0,12.394270878800036,-525.8395777555622,2.137458086013794
9039.0,12.722577908799941,-525.5112707255623,2.154093027114868
9038.0,12.06596384880013,-524.8546566655623,2.1706480979919434
9039.0,11.737656818800225,-524.8546566655623,2.187251091003418
9039.0,13.050884938800301,-524.1980426055623,2.20404314994812
9040.0,12.06596384880013,-523.8697355755623,2.2207987308502197
9040.0,11.409349788799865,-523.5414285455622,2.237436294555664
9041.0,13.379191968800207,-523.2131215155623,2.2540056705474854
9041.0,12.722577908799941,-522.5565074555623,2.2706100940704346
9042.0,12.722577908799941,-522.2282004255624,2.287205219268799
9044.0,13.050884938800301,-521.8998933955622,2.3037612438201904
9046.0,12.394270878800036,-521.2432793355622,2.3203368186950684
9046.0,13.379191968800207,-520.9149723055623,2.336932897567749
9046.0,13.707498998800112,-520.9149723055623,2.3535585403442383
9045.0,12.722577908799941,-520.2583582455622,2.3700969219207764
9043.0,13.050884938800301,-519.9300512155623,2.386767864227295
9041.0,13.379191968800207,-519.6017441855622,2.4033732414245605
